scenario,comparison,outcome,n,mean,std,se,ci_low,ci_high
scarce_penalty_minus_limited,institutional_contrast_administered,inflation_volatility,40,0.0005326321195692982,0.00036085111717171344,5.705557132394558e-05,0.00042080319977436483,0.0006444610393642315
scarce_penalty_minus_limited,institutional_contrast_administered,defaults,40,0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_administered,write_offs,40,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_administered,interbank_volume,40,409.4890180136797,14.277186394319829,2.2574213792408764,405.0644721103676,413.9135639169918
scarce_penalty_minus_limited,institutional_contrast_administered,emergency_borrowing,40,682.9312984811543,121.7238902675297,19.246236945089816,645.2086740687782,720.6539228935303
scarce_penalty_minus_limited,institutional_contrast_administered,liquidity_shortfall,40,-671.6448597077318,184.91314542679515,29.237335442731048,-728.9500371754847,-614.339682239979
scarce_penalty_minus_limited,institutional_contrast_administered,final_credit,40,119.82066598790851,2.749572654499933,0.43474560901675036,118.96856459423569,120.67276738158134
scarce_penalty_minus_limited,institutional_contrast_market,new_credit,40,33.63107328,58.79033647418749,9.295568383305266,15.41175924872168,51.850387311278325
scarce_penalty_minus_limited,institutional_contrast_market,output,40,21.24664097573429,36.63666312514007,5.792765067187253,9.892821444047275,32.6004605074213
scarce_penalty_minus_limited,institutional_contrast_market,inflation_volatility,40,7.663496365065397e-05,0.00016420652789158883,2.596333174026936e-05,2.574683343972602e-05,0.0001275230938615819
scarce_penalty_minus_limited,institutional_contrast_market,defaults,40,0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_market,write_offs,40,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_market,interbank_volume,40,83.93887662463537,76.3404375099649,12.070483005262108,60.28072993432164,107.5970233149491
scarce_penalty_minus_limited,institutional_contrast_market,emergency_borrowing,40,1002.48322451792,514.4564401336487,81.34270538821941,843.05152195701,1161.91492707883
scarce_penalty_minus_limited,institutional_contrast_market,liquidity_shortfall,40,-1232.5288345594226,317.42730109753444,50.18966314941374,-1330.9005743322737,-1134.1570947865716
scarce_penalty_minus_limited,institutional_contrast_market,final_credit,40,9.418842624000002,21.564007127238636,3.409568900108922,2.7360875797865143,16.10159766821349
