run_id,borrower_leverage_slope,liquidity_component_slope,capital_component_slope,inflation_component_slope,scenario_id,rate_regime,replication
ecba0f58f9cf1a8cd3b7a4b9,0.02966695964815886,11.915473618901627,-1.7763568394002505e-15,0.0014186813210175534,h3_positive_demand,market,15
ef3e6608fea8be116014eed8,0.029534620296305443,-0.21419168493661248,-8.326672684688674e-17,0.0014483227079225426,h2_h3_baseline,market,2
efdd1f6a817ffe8e0ccd0a6e,0.00768489035953755,-1.6847576770917412,-2.220446049250313e-16,0.0013969196434184129,h3_positive_demand,administered,14
f14950a3bdfb663bc02d9afa,0.007416860105975327,3.5540543968378486,-4.440892098500626e-16,0.0013945693554269702,h3_positive_demand,administered,3
f1e5df85d6c23d19768ae668,0.007393014463412808,-0.3916727691796222,-1.1102230246251565e-16,0.0014039090436320629,h3_positive_demand,administered,6
f2039b782dffebbe211c2404,0.007175557454544729,0.03347781535946446,6.938893903907228e-18,0.0013939050444468973,h2_h3_baseline,administered,9
f365081ace9bc875c40f2d94,0.007514816671939548,0.05420437263135623,-6.938893903907228e-18,0.0013864205265323355,h3_positive_demand,administered,1
f4a759a22ed15b5223755acc,0.0072604657538820954,2.662540202244229,0.0,0.00139468721875874,h3_positive_demand,administered,12
f5f876b953f8730086976292,0.006642918093871569,5.171123666756863,0.0,0.001417246254819585,h3_positive_demand,administered,10
f97830dd8b1126cef1a6ee7d,0.02908721482152855,-2.113298918088872,0.0,0.0014213714978272057,h2_h3_baseline,market,18
