parameter_set_id,outcome,matched_seeds,mean_effect,standard_deviation,minimum_effect,maximum_effect,positive_seed_share,production_alpha,investment_share,base_credit_demand,risk_price,liquidity_price,capital_price
lhs-042,cumulative_new_credit,5,9.338496674731488,18.24007590330198,-12.932201617440413,30.896543104403968,0.6,0.49799233890577316,0.21021815762303572,16.444879368556947,0.008338391105773509,0.021977647097124107,0.003690082501751465
lhs-043,cumulative_new_credit,5,10.86516215021532,16.88183009125292,-3.8242684088586287,38.70997856723881,0.8,0.42411769550838685,0.4671169805026527,12.322062543052354,0.016250230171439783,0.030336618424578146,0.021957039556271166
lhs-044,cumulative_new_credit,5,0.1175457030858766,14.901826852944096,-9.898108066067806,26.142869714323318,0.2,0.2706100379301568,0.1727710848778713,10.880561419847183,0.01431283518502437,0.03999000512849134,0.018621874350115822
lhs-045,cumulative_new_credit,5,55.26526505965724,108.8618599844948,-4.234208740988663,249.57671047496785,0.8,0.23898744496322388,0.5225512427021647,15.75403864783084,0.019870639354785516,0.034480153408508296,0.028190272963374327
lhs-046,cumulative_new_credit,5,16.46969869078681,30.39967602325272,-22.47675767194834,51.999847689121225,0.8,0.3454620908495083,0.23747101936142206,6.3087698773909455,0.03569335262734138,0.028575408923806826,0.011659821995584565
lhs-047,cumulative_new_credit,5,7.70487980727764,34.797875743767385,-26.028418712032703,57.67037130638329,0.6,0.48892427752377476,0.4292490987302573,10.613502692950547,0.04001018095678476,0.014973020105097799,0.020335705019205737
lhs-048,cumulative_new_credit,5,2.8789392008213084,10.209390538617392,-5.305472621605901,18.844243612820584,0.4,0.3075109360675451,0.29759683397631576,13.771682410395481,0.007349227960874522,0.02284655542132935,0.021425117862521305
lhs-049,cumulative_new_credit,5,13.497974600745119,19.458847451833616,-17.383555505866582,29.14337985307374,0.8,0.47836813235155734,0.41581138262385986,8.893380444947283,0.04668972549658213,0.03800097556873792,0.016417903660407303
lhs-050,cumulative_new_credit,5,40.74839073280971,31.976973821348743,-6.021463262384259,82.09014588539313,0.8,0.25658518022979127,0.4776952908072787,12.46014405667242,0.025384865415445972,0.012239487174002858,0.009160436950225007
lhs-051,cumulative_new_credit,5,48.07983655444167,37.03726473848661,3.561786099881843,92.78319965740032,1.0,0.4942877504930994,0.47952833623153845,8.191928798427881,0.038877124007629035,0.014013291715819592,0.01084148886042538
lhs-052,cumulative_new_credit,5,-5.996399407786169,11.824213315215214,-19.28441329314424,10.730860740980958,0.2,0.312272375832748,0.3065541025704078,9.167801062113389,0.01608303012351534,0.007876339612234894,0.015844736279738314
lhs-053,cumulative_new_credit,5,18.504460177287704,16.592191428334917,-0.8861782314441484,38.74784580584408,0.8,0.4394636543919853,0.5289560192061077,15.176070494227508,0.018924806585209612,0.01910412117231071,0.029351806753605776
lhs-054,cumulative_new_credit,5,47.7900449659234,36.047182416423766,8.126179289178424,89.66626358217978,1.0,0.44521358419502943,0.3454268256187839,17.13884491071237,0.01823550826332753,0.014463783565071997,0.009315173200893943
lhs-055,cumulative_new_credit,5,5.609652760614824,29.759956318067847,-31.42985272707736,32.727764524396875,0.6,0.23372596762922598,0.5553564202397324,9.331662349078977,0.047348707771821784,0.024524587519279863,0.00994965572864587
lhs-056,cumulative_new_credit,5,52.902767173322424,69.91027758683559,1.2021856522636938,171.49336324147637,1.0,0.4700687882089928,0.20297947493058355,12.667598644083752,0.035532383731001246,0.03270900931964514,0.02328087517624334
lhs-057,cumulative_new_credit,5,38.724397210841516,24.479671040018008,-2.3612582847352144,61.24902224111548,0.8,0.37373274240521515,0.5003896443459401,14.117655727377324,0.027756280617047432,0.006308696592841274,0.005384714635767104
lhs-058,cumulative_new_credit,5,3.21332438505259,8.10027756080213,-4.26148290815534,15.033424786842915,0.6,0.34733730276283625,0.35339378126761567,14.506109609440413,0.015542657485231079,0.03125371867203318,0.00778438918326159
lhs-059,cumulative_new_credit,5,54.09870395891157,75.00669969278651,-2.4280940502767265,164.36053785396695,0.6,0.46641282056073347,0.4923464918179371,13.246459630708333,0.022147735064699057,0.02565400106549329,0.02659153244568945
lhs-060,cumulative_new_credit,5,41.28457293426403,34.43833820895727,11.361367032989591,96.96041136252585,1.0,0.4120335210382655,0.3337573346291535,15.649206369707587,0.041143016405813644,0.007290870412352873,0.027578581209636
lhs-061,cumulative_new_credit,5,5.423098384873161,7.503034951053057,-1.0971164120232473,17.28334747566531,0.6,0.37579178364623933,0.3076884963792701,13.384299050666158,0.012173666997555118,0.03638366031813885,0.004945116610152414
lhs-062,cumulative_new_credit,5,13.78151201975632,30.16671254299149,-7.666011830835693,66.51207053129785,0.6,0.4079884921349053,0.4542143741072088,11.36021286938771,0.013715384685305896,0.008625401420662034,0.025610857794727764
lhs-063,cumulative_new_credit,5,33.95434068632936,26.52545453204775,-9.357795693693447,55.85820579026068,0.8,0.32791287299576977,0.23066944134480746,16.549682186214717,0.04949335953343027,0.016808487213489508,0.029025213627128392
lhs-064,cumulative_new_credit,5,27.392113121352544,40.208299786822,-9.110959200971998,72.05645832746143,0.6,0.31520911869780405,0.1541131479195781,10.07307887919863,0.043129912290490284,0.026546891888760915,0.017046472945744337
lhs-065,cumulative_new_credit,5,-8.25101684666745,8.440281734914606,-17.059630433991387,2.53289527170341,0.2,0.24442917296077948,0.5785826820281508,19.593931081170695,0.012670510844172204,0.021438903858048405,0.024780793784492938
lhs-066,cumulative_new_credit,5,34.55406400999124,39.50354007605728,-9.476929075239468,96.79205903514875,0.8,0.30074329537675054,0.32538292095991295,16.77044465061396,0.030549057740424917,0.037119266878547615,0.015376547406097741
lhs-067,cumulative_new_credit,5,25.809936774159933,16.036676554878763,-0.8215398197688444,39.73753543216765,0.8,0.24777524063098466,0.583155407555311,15.248905616052648,0.043505423199858,0.03258559203180814,0.017843955866306438
lhs-068,cumulative_new_credit,5,34.03852709544059,77.79829091933715,-5.282889937384235,173.06007470728514,0.6,0.38244222432774966,0.2580691961095761,19.43316502443353,0.0179479429562775,0.022984091741084747,0.005681271149109721
lhs-069,cumulative_new_credit,5,22.07306084450458,33.31210503850222,-33.50396038156663,45.77567452061014,0.8,0.3207076635366994,0.24492301433110183,17.330276372612957,0.03371904620953737,0.02067540392662119,0.0029214814690422504
lhs-070,cumulative_new_credit,5,25.778083976946515,15.344365570331687,2.705626781813688,39.66833038167174,1.0,0.3571998044024959,0.30048842370426254,15.471162883355511,0.020437922358830803,0.016073163218737672,0.010281756093000196
lhs-071,cumulative_new_credit,5,-4.316967006530632,6.772374397870276,-13.189889758509395,1.9195866235299235,0.4,0.48541623558474745,0.44227940398302146,9.070271754264398,0.006094624565052912,0.008971240361600484,0.006683391212716521
lhs-072,cumulative_new_credit,5,25.236262266247515,41.62860016883577,-13.482941513945216,71.37030047557818,0.6,0.4569480719175881,0.15592737544961058,19.930000700113773,0.03638742992422502,0.0048909151399921125,0.02976529232140851
lhs-073,cumulative_new_credit,5,12.940533562505658,12.40882439386221,-8.382500387493621,22.382478820983522,0.8,0.2537806700618391,0.4874338889957024,18.42783462965057,0.02935013146706758,0.021572818558672744,0.028699417800708546
